Designator,Mid X,Mid Y,Rotation,Layer
C1,115.75,-112.25,0.0,top
C2,109.5,-112.25,180.0,top
C3,112.5,-113.0,270.0,top
C4,160.75,-122.5,90.0,top
C5,195.25,-106.5,0.0,top
C6,179.25,-117.25,270.0,top
C7,73.2,-98.25,180.0,top
J2,132.33,-132.5,270.0,bottom
Q1,75.0,-116.75,0.0,top
R2,79.75,-119.25,0.0,top
R3,201.75,-96.75,90.0,top
R4,201.0,-117.5,0.0,top
R5,179.0,-123.75,0.0,top
R6,173.25,-117.0,270.0,top
SW1,190.0,-91.5,0.0,top
SW2,206.0,-107.5,0.0,top
SW3,190.0,-123.5,0.0,top
SW4,174.0,-107.5,0.0,top
U1,112.65,-97.0,0.0,top
U2,153.25,-128.5,270.0,top
